date,days_to_ignition,phase,bi,erc,fm100,fm1000,tmmx,tmmn,rmax,rmin,pr,vpd,vs
2020-07-14,-365,pre_fire,,,,,,,,,,,
2020-07-15,-364,pre_fire,66.096,82.23885,5.5498285,7.5271997,304.97064,286.47028,41.978172,13.177714,0.0,2.4456346,3.3021712
2020-07-16,-363,pre_fire,65.27543,83.07543,5.312114,7.4351997,305.9985,286.52206,40.795662,12.051087,0.014171429,2.6094172,3.1792002
2020-07-17,-362,pre_fire,64.60686,81.477715,5.626172,7.4025145,304.2785,286.70847,53.307312,18.542856,0.0,2.1682286,3.3028572
2020-07-18,-361,pre_fire,57.45257,81.82743,5.813257,7.2965713,304.812,286.34412,53.544456,17.468914,0.0,2.2379084,2.4373713
2020-07-19,-360,pre_fire,59.51543,83.17714,5.6852565,7.186857,305.67444,286.9056,45.94103,14.454972,0.0,2.4811199,2.5189714
2020-07-20,-359,pre_fire,41.51543,75.992,5.8785143,7.167314,305.63028,287.58618,43.722168,14.456114,0.7984,2.5128798,2.8545146
2020-07-21,-358,pre_fire,37.04,74.34628,6.071771,7.152229,305.26172,287.10526,48.41257,16.116571,0.5500572,2.3809826,2.7339425
2020-07-22,-357,pre_fire,18.772572,65.13828,7.1788573,7.3914285,300.5424,284.68915,61.038857,23.562286,1.7182857,1.62456,2.2917714
2020-07-23,-356,pre_fire,59.286858,76.40457,7.252343,7.445257,300.40628,284.17316,60.43063,22.5688,0.06388572,1.6287656,3.417943
2020-07-24,-355,pre_fire,58.24457,78.33257,7.066971,7.4402285,301.79715,284.62894,55.880116,19.571772,0.0,1.8416685,2.8295999
2020-07-25,-354,pre_fire,57.718857,79.64686,6.7958856,7.365943,302.9184,285.0505,52.07737,17.312344,0.0,2.0302057,2.6211429
2020-07-26,-353,pre_fire,26.296,69.421715,6.7834287,7.4086857,305.06857,286.49405,46.28,14.699886,0.9449143,2.3966515,2.3859427
2020-07-27,-352,pre_fire,26.374857,68.24571,7.1541715,7.5204573,303.29028,285.4616,49.10069,16.380342,1.6233143,2.1194859,2.4011428
