fire_id,fire_size,ignition_date,containment_date,duration_days,latitude,longitude,ignition_year,ignition_month,hot_days_6mo,avg_fm100_6mo,avg_fm1000_6mo,days_fm100_below_10,avg_max_temp_6mo,avg_min_temp_6mo,hottest_day_6mo,coldest_day_6mo,avg_daily_temp_range,mean_elevation,elevation_variability,mean_slope,open_water,barren,forest_decid,forest_ever,forest_mixed,shrub,grassland,pasture,crops,wetland,wetland_herb,forest_fraction,shrub_fraction,grass_fraction,agriculture_fraction,nonburnable_fraction,dominant_veg,avg_vpd_6mo,avg_wind_6mo,extreme_fire_days,avg_precip_6mo,rainy_days_6mo,avg_humidity_6mo
10TH_2024_00139,131.9613037109375,2023-06-25 00:00:00,2024-06-25 00:00:00,366,34.9711655244018,-118.10988556804584,2023,6,12.0,11.17027780277778,12.674722266666674,74.0,21.594816166666703,7.77018466666669,39.83337,-3.533329999999978,13.824631500000002,771.1474440310483,1.8019198010863744,0.2479407845598003,0.0,0.0,0.0,0.0,0.0,0.9925925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.9925925925925926,0.0,0.0,0.0,shrub_fraction,1.3056388831666668,4.746388876666669,0.0,0.88833334,36.0,70.53731532777778
10_2003_07027,212.88377380371097,2002-09-03 00:00:00,2003-09-10 00:00:00,372,40.13207930943039,-124.08480750962018,2002,9,,16.20083327777778,20.20569437222222,0.0,19.801112222222233,9.189027666666693,27.475000000000023,2.400000000000034,10.612084555555553,731.7989141522219,102.64579065187208,14.285351477928298,0.0,0.0,0.0,0.3826530612244898,0.0,0.0447845804988662,0.5691609977324263,0.0,0.0,0.0034013605442176,0.0,0.3826530612244898,0.0447845804988662,0.5691609977324263,0.0,0.0034013605442176,grass_fraction,0.7141805542777775,4.6845833316666665,0.0,3.9837500322777797,50.0,91.34055548333326
118_FWY_2015_03742,4.027376651763916,2014-06-04 00:00:00,2015-06-04 00:00:00,365,34.275891800761535,-118.62553268198724,2014,6,,11.495277831666662,12.363240738888887,73.0,22.17074055555558,10.068332277777804,33.46667000000002,-0.5999799999999595,12.102408277777785,448.0685564676921,8.618428458874448,6.125031050917177,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrub_fraction,1.149972219022221,3.034537028333332,0.0,0.8891666648611112,21.0,71.19166673888887
128_2002_07316,187.9599151611328,2001-09-04 00:00:00,2002-09-05 00:00:00,366,38.50716260553229,-122.09151465304566,2001,9,29.0,11.46111096611111,12.73972223888889,56.0,27.90222088888892,10.396479333333357,43.86670000000004,-1.2333399999999983,17.505741555555552,280.23820987612737,98.36612643259846,16.191417753200096,0.0,0.0402777777777777,0.0,0.0,0.0,0.95,0.0020833333333333,0.0,0.0,0.0,0.0,0.0,0.95,0.0020833333333333,0.0,0.0402777777777777,shrub_fraction,1.6030648096666682,3.8686110922222214,3.0,0.3975925848888889,16.0,80.5506482888889
128_2006_06210,57.198333740234375,2005-07-07 00:00:00,2006-07-07 00:00:00,365,38.43878970760221,-122.1691624399031,2005,7,7.0,15.709444460555556,20.634722372222228,26.0,20.37250238888894,7.537129500000022,39.166650000000004,-1.283329999999978,12.835372888888896,339.3732880607223,52.57621910096753,8.185243605440675,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0376984126984126,0.0793650793650793,0.8353174603174603,0.0,0.0,0.0476190476190476,0.0,0.1170634920634919,0.8353174603174603,shrub_fraction,0.8571296296666666,3.379537037388888,0.0,3.1045370409444444,68.0,85.04861112222223
132_2004_06791,42.74136734008789,2003-07-24 00:00:00,2004-07-23 00:00:00,365,37.70603572493126,-120.24424328426034,2003,7,14.0,11.679305541666665,13.692777761111104,72.0,24.411944222222242,8.559720555555579,37.400000000000034,-2.300019999999961,15.852223666666674,321.96709422254105,22.827636085778288,4.1771806748784055,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrub_fraction,1.373833332833333,4.021944451111112,0.0,1.142222199777778,27.0,78.34763853888886
132_2009_05170,49.919673919677734,2008-06-19 00:00:00,2009-06-19 00:00:00,365,37.64281892253017,-120.40266835244412,2008,6,8.0,14.408765418333328,16.935061738888876,39.0,20.711418777777812,6.910244388888908,41.56112000000002,-2.1388999999999783,13.801174388888882,160.81795837903263,6.15854680161338,1.9597153337607551,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,forest_fraction,0.972012337988889,3.6722222299999987,1.0,1.4464197428888892,48.0,82.80425936111108
13_1_2020_01978,1.204189658164978,2019-08-17 00:00:00,2020-08-16 00:00:00,365,38.694485298363155,-123.05545137249146,2019,8,5.0,12.614382749444452,14.58512333055555,53.0,24.16617366666668,9.489567833333355,38.88336000000004,0.727800000000002,14.676605833333346,376.1881004333496,17.05135523882822,15.336314035667618,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,forest_fraction,1.1985370403888884,5.306234579999998,0.0,0.7523456700555554,38.0,81.95536956666669
13_2013_04146,10.662187576293944,2012-04-29 00:00:00,2013-05-01 00:00:00,367,38.12820157929053,-120.2943522128007,2012,4,,15.762499885555545,18.443750033333334,20.0,14.102500555555576,1.9998608888889136,28.5,-8.274999999999977,12.102639666666654,932.2781473795573,12.39412360176129,6.364890271383854,0.0,0.0,0.0,0.0,0.0,0.7283950617283951,0.2716049382716049,0.0,0.0,0.0,0.0,0.0,0.7283950617283951,0.2716049382716049,0.0,0.0,shrub_fraction,0.5790277792777777,3.5808333288888883,0.0,3.8109722183333323,50.0,80.98319455555557
152_2003_06941,1507.272216796875,2002-06-16 00:00:00,2003-06-16 00:00:00,365,37.095890685371494,-121.16564042228693,2002,6,2.0,16.37157400444444,18.730138913888897,17.0,19.00050922222225,7.244812277777803,37.625,-0.25,11.755696944444448,260.4621329978234,112.12685289673864,6.613634846284926,0.0,0.0,0.0012427506213753,0.5237503452085059,0.0,0.4750069041701187,0.0,0.0,0.0,0.0,0.0,0.5249930958298813,0.4750069041701187,0.0,0.0,0.0,forest_fraction,0.7070601845794445,3.567731491666666,0.0,1.1534721975499995,48.0,90.03449083888889
